name,title,origin,weaponType,moveType,rarities,releaseDate,assets/portrait/75px,assets/portrait/113px,assets/portrait/150px,skills/0/name,skills/0/default,skills/0/rarity,skills/1/name,skills/1/default,skills/1/rarity,skills/2/name,skills/2/default,skills/2/rarity,skills/3/name,skills/3/default,skills/3/rarity,skills/4/name,skills/4/default,skills/4/rarity,skills/5/name,skills/5/default,skills/5/rarity,skills/6/name,skills/6/rarity,skills/7/name,skills/7/rarity,skills/8/name,skills/8/rarity,skills/9/name,skills/9/rarity,skills/10/name,skills/10/rarity,skills/11/name,skills/11/rarity,stats/1/4/hp,stats/1/4/atk,stats/1/4/spd,stats/1/4/def,stats/1/4/res,stats/1/5/hp,stats/1/5/atk,stats/1/5/spd,stats/1/5/def,stats/1/5/res,stats/40/4/hp/0,stats/40/4/hp/1,stats/40/4/hp/2,stats/40/4/atk/0,stats/40/4/atk/1,stats/40/4/atk/2,stats/40/4/spd/0,stats/40/4/spd/1,stats/40/4/spd/2,stats/40/4/def/0,stats/40/4/def/1,stats/40/4/def/2,stats/40/4/res/0,stats/40/4/res/1,stats/40/4/res/2,stats/40/5/hp/0,stats/40/5/hp/1,stats/40/5/hp/2,stats/40/5/atk/0,stats/40/5/atk/1,stats/40/5/atk/2,stats/40/5/spd/0,stats/40/5/spd/1,stats/40/5/spd/2,stats/40/5/def/0,stats/40/5/def/1,stats/40/5/def/2,stats/40/5/res/0,stats/40/5/res/1,stats/40/5/res/2,stats/1/2/hp,stats/1/2/atk,stats/1/2/spd,stats/1/2/def,stats/1/2/res,stats/1/3/hp,stats/1/3/atk,stats/1/3/spd,stats/1/3/def,stats/1/3/res,stats/40/2/hp/0,stats/40/2/hp/1,stats/40/2/hp/2,stats/40/2/atk/0,stats/40/2/atk/1,stats/40/2/atk/2,stats/40/2/spd/0,stats/40/2/spd/1,stats/40/2/spd/2,stats/40/2/def/0,stats/40/2/def/1,stats/40/2/def/2,stats/40/2/res/0,stats/40/2/res/1,stats/40/2/res/2,stats/40/3/hp/0,stats/40/3/hp/1,stats/40/3/hp/2,stats/40/3/atk/0,stats/40/3/atk/1,stats/40/3/atk/2,stats/40/3/spd/0,stats/40/3/spd/1,stats/40/3/spd/2,stats/40/3/def/0,stats/40/3/def/1,stats/40/3/def/2,stats/40/3/res/0,stats/40/3/res/1,stats/40/3/res/2,skills/6/default,skills/12/name,skills/12/rarity,shortName,stats/1/1/hp,stats/1/1/atk,stats/1/1/spd,stats/1/1/def,stats/1/1/res,stats/40/1/hp/0,stats/40/1/hp/1,stats/40/1/hp/2,stats/40/1/atk/0,stats/40/1/atk/1,stats/40/1/atk/2,stats/40/1/spd/0,stats/40/1/spd/1,stats/40/1/spd/2,stats/40/1/def/0,stats/40/1/def/1,stats/40/1/def/2,stats/40/1/res/0,stats/40/1/res/1,stats/40/1/res/2,skills/13/name,skills/13/rarity,skills/14/name,skills/14/rarity
Abel,The Panther,Fire Emblem: Mystery of the Emblem,Blue Lance,Cavalry,4-5,"Feb 02, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Abel.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Abel.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Abel.png,Iron Lance,-,-,Steel Lance,-,-,Brave Lance,4,-,Brave Lance+,5,5,Holy Vestments,4,-,Aegis,-,4,HP +3,-,HP +4,4,HP +5,5,Swordbreaker 1,-,Swordbreaker 2,-,Swordbreaker 3,4,16,6,8,8,5,17,7,8,8,6,33,36,39,27,30,33,27,30,33,21,24,27,20,23,26,35,39,42,30,33,36,29,32,35,22,25,28,22,25,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfonse,Prince of Askr,Fire Emblem Heroes,Red Sword,Infantry,2,"Feb 02, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Alfonse.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Alfonse.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Alfonse.png,Iron Sword,2,-,Steel Sword,-,2,Silver Sword,-,3,Fólkvangr,-,5,Daylight,2,-,Sol,-,4,Death Blow 1,-,Death Blow 2,2,Death Blow 3,4,Spur Atk 1,3,Spur Atk 2,4,Spur Atk 3,5,18,9,5,8,4,19,9,6,8,5,37,40,43,30,33,36,20,23,26,27,30,33,17,20,23,40,43,46,32,35,38,22,25,29,29,32,35,19,22,25,17,8,4,7,3,18,8,5,7,4,33,36,39,26,29,32,17,19,22,23,26,29,14,17,19,36,39,42,28,31,34,19,22,25,25,28,31,16,19,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alm,Hero of Prophecy,Fire Emblem Echoes: Shadows of Valentia,Red Sword,Infantry,5,"Apr 14, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Alm.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Alm.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Alm.png,Iron Sword,-,-,Steel Sword,-,-,Silver Sword,-,-,Falchion,5,-,Dragon Gaze,5,-,Draconic Aura,-,5,Attack +1,-,Attack +2,-,Attack +3,5,Windsweep 1,-,Windsweep 2,-,Windsweep 3,5,,,,,,21,9,6,6,5,,,,,,,,,,,,,,,,42,45,48,30,33,36,27,30,33,24,28,31,19,22,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amelia,Rose of the War,Fire Emblem: The Sacred Stones,Green Axe,Armored,5,"Aug 15, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Amelia.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Amelia.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Amelia.png,Iron Axe,-,-,Steel Axe,-,-,Slaying Axe,-,-,Slaying Axe+,5,-,Holy Vestments,5,-,Sacred Cowl,-,5,Earth Boost 1,-,Earth Boost 2,-,Earth Boost 3,5,Armor March 1,-,Armor March 2,-,Armor March 3,5,,,,,,19,6,8,9,4,,,,,,,,,,,,,,,,44,47,50,31,34,37,31,34,37,32,35,38,20,23,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna,Commander,Fire Emblem Heroes,Green Axe,Infantry,2,"Feb 02, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Anna.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Anna.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Anna.png,Iron Axe,2,-,Steel Axe,-,2,Silver Axe,-,3,Nóatún,-,5,Night Sky,2,-,Astra,-,4,Vantage 1,3,Vantage 2,4,Vantage 3,5,Spur Res 1,-,Spur Res 2,2,Spur Res 3,4,18,7,10,4,5,19,7,10,5,6,35,38,41,24,27,30,33,36,39,17,20,23,22,25,28,37,41,44,25,29,32,35,38,41,19,22,25,24,28,31,17,6,9,3,4,18,6,9,4,5,31,34,37,20,23,26,29,32,35,14,17,19,18,21,24,34,37,40,22,25,28,31,34,37,16,19,22,21,24,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arden,Strong and Tough,Fire Emblem: Genealogy of the Holy War,Red Sword,Armored,4-5,"Oct 23, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Arden.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Arden.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Arden.png,Iron Sword,-,-,Steel Sword,-,-,Brave Sword,4,-,Brave Sword+,5,5,Buckler,4,-,Pavise,-,4,Follow-Up Ring,5,Spur Def 1,-,Drive Def 1,-,Drive Def 2,4,,,,,24,10,2,13,2,25,10,3,13,3,54,57,60,31,34,37,11,14,17,36,39,42,11,14,17,57,60,63,33,36,39,12,16,19,38,41,44,12,16,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur,Hapless Hero,Fire Emblem Fates,Green Axe,Infantry,3-4,"Feb 02, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Arthur.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Arthur.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Arthur.png,Iron Axe,-,-,Steel Axe,3,-,Emerald Axe,4,3,Emerald Axe+,5,5,Swap,4,3,HP +3,,-,HP +4,3,HP +5,4,Lancebreaker 1,3,Lancebreaker 2,4,Lancebreaker 3,5,,,18,8,6,8,4,19,8,7,8,5,37,40,43,27,30,33,23,26,29,25,28,31,19,22,25,40,43,46,29,32,35,25,29,32,26,30,33,21,24,28,,,,,,18,7,6,7,4,,,,,,,,,,,,,,,,36,39,42,25,28,31,22,25,28,23,26,29,18,21,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arvis,Emperor of Flame,Fire Emblem: Genealogy of the Holy War,Red Tome,Infantry,3-4,"Oct 18, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Arvis.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Arvis.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Arvis.png,Fire,-,-,Elfire,3,-,Bolganone,4,3,Valflame,-,5,Rising Flame,4,3,Growing Flame,-,4,Recover Ring,5,Def Ploy 1,-,Def Ploy 2,-,Def Ploy 3,4,,,,,17,8,7,3,6,18,8,7,4,7,28,31,34,29,32,35,26,29,32,12,15,18,27,30,33,30,33,36,31,34,37,28,31,34,13,17,20,30,33,36,,,,,,17,7,6,3,6,,,,,,,,,,,,,,,,27,30,33,27,30,33,24,27,30,11,14,17,26,29,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athena,Borderland Sword,Fire Emblem: New Mystery of the Emblem,Red Sword,Infantry,4-5,"Jun 14, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Athena.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Athena.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Athena.png,Iron Sword,-,-,Steel Sword,-,-,Wo Dao,4,-,Wo Dao+,5,5,New Moon,4,-,Moonbow,-,4,Armored Blow 1,-,Sturdy Blow 1,4,Sturdy Blow 2,5,Sword Exp. 1,-,Sword Exp. 2,-,Sword Exp. 3,4,16,6,10,8,4,17,7,10,8,5,31,34,37,25,28,31,33,36,39,23,26,29,19,22,25,33,36,40,28,31,34,35,38,41,24,27,31,21,24,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayra,Astra's Wielder,Fire Emblem: Genealogy of the Holy War,Red Sword,Infantry,5,"Oct 19, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Ayra.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Ayra.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Ayra.png,Iron Sword,-,-,Steel Sword,-,-,Silver Sword,-,-,Ayra's Blade,5,-,Night Sky,5,-,Astra,-,5,Regnal Astra,5,Darting Blow 1,-,Swift Sparrow 1,-,Swift Sparrow 2,5,Desperation 1,-,Desperation 2,-,,,,,,19,7,11,7,4,,,,,,,,,,,,,,,,37,41,44,30,33,36,34,37,40,28,31,34,18,21,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,Desperation 3,5,,,,,,,,,,,,,,,,,,,,,,,,,
Azama,Carefree Monk,Fire Emblem Fates,Neutral Staff,Infantry,3-4,"Feb 02, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Azama.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Azama.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Azama.png,Assault,-,3,Pain,-,3,Heal,3,-,Reconcile,3,-,Martyr,-,4,Imbue,-,3,Solid-Earth Balm,3,Threaten Atk 1,3,Threaten Atk 2,4,Threaten Atk 3,5,,,,,18,3,7,8,5,19,4,7,8,6,37,40,43,16,19,22,22,25,28,27,30,33,20,23,26,40,43,46,18,21,24,23,26,30,29,32,35,22,25,29,,,,,,18,3,6,7,5,,,,,,,,,,,,,,,,36,39,42,15,18,21,20,23,26,25,28,31,19,22,25,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azura,Lady of the Lake,Fire Emblem Fates,Blue Lance,Infantry,5,"Feb 02, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Azura.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Azura.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Azura.png,Iron Lance,-,-,Steel Lance,-,-,Sapphire Lance,-,-,Sapphire Lance+,5,-,Sing,5,-,Speed +1,,-,Speed +2,-,Speed +3,5,Fortify Res 1,-,Fortify Res 2,-,Fortify Res 3,5,,,,,,,,17,5,7,4,6,,,,,,,,,,,,,,,,33,36,40,28,31,34,30,33,36,18,21,24,24,28,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
